UN Region,year_smoothed,new_infections_smoothed
Central Africa,2002.923076923077,20822.294031032394
Central Africa,2002.9615384615386,20821.360692179427
Central Africa,2003.0,20820.0
Central Africa,2003.0384615384614,20818.21059658596
Central Africa,2003.076923076923,20816.98319206699
Central Africa,2003.1153846153845,20814.918339529286
Central Africa,2003.1538461538462,20811.452822403473
Central Africa,2003.1923076923076,20805.659434159646
Central Africa,2003.2307692307693,20796.038107414395
Central Africa,2003.2692307692307,20780.23312112029
Central Africa,2003.3076923076924,20754.730267287872
Central Africa,2003.3461538461538,20714.74292897245
Central Africa,2003.3846153846155,20654.781217263684
Central Africa,2003.423076923077,20570.626933515097
Central Africa,2003.4615384615386,20462.86933883793
Central Africa,2003.5,20340.0
Central Africa,2003.5384615384614,20217.13066116207
Central Africa,2003.576923076923,20109.373066484903
Central Africa,2003.6153846153845,20025.218782736316
Central Africa,2003.6538461538462,19965.25707102755
Central Africa,2003.6923076923076,19925.269732712128
Central Africa,2003.7307692307693,19899.76687887971
Central Africa,2003.7692307692307,19883.961892585605
Central Africa,2003.8076923076924,19874.340565840354
Central Africa,2003.8461538461538,19868.547177596527
Central Africa,2003.8846153846155,19865.081660470714
Central Africa,2003.923076923077,19863.01680793301
Central Africa,2003.9615384615386,19861.78940341404
Central Africa,2004.0,19860.0
Central Africa,2004.0384615384614,19859.31033410084
Central Africa,2004.076923076923,19858.837271942488
Central Africa,2004.1153846153845,19858.041443360245
Central Africa,2004.1538461538462,19856.70577530134
Central Africa,2004.1923076923076,19854.472906915697
Central Africa,2004.2307692307693,19850.76468723263
Central Africa,2004.2692307692307,19844.673182098446
Central Africa,2004.3076923076924,19834.843957183868
Central Africa,2004.3461538461538,19819.432170541466
Central Africa,2004.3846153846155,19796.321927487043
Central Africa,2004.423076923077,19763.887463958945
Central Africa,2004.4615384615386,19722.35589101045
Central Africa,2004.5,19675.0
Central Africa,2004.5384615384614,19627.64410898955
Central Africa,2004.576923076923,19586.112536041055
Central Africa,2004.6153846153845,19553.678072512954
Central Africa,2004.6538461538462,19530.567829458534
Central Africa,2004.6923076923076,19515.156042816132
Central Africa,2004.7307692307693,19505.326817901554
Central Africa,2004.7692307692307,19499.23531276737
Central Africa,2004.8076923076924,19495.527093084303
Central Africa,2004.8461538461538,19493.29422469866
Central Africa,2004.8846153846155,19491.958556639755
Central Africa,2004.923076923077,19491.162728057512
Central Africa,2004.9615384615386,19490.68966589916
Central Africa,2005.0,19490.0
Central Africa,2005.0384615384614,19489.25441524415
Central Africa,2005.076923076923,19488.74299669458
Central Africa,2005.1153846153845,19487.882641470536
Central Africa,2005.1538461538462,19486.43867600145
Central Africa,2005.1923076923076,19484.024764233185
Central Africa,2005.2307692307693,19480.015878089333
Central Africa,2005.2692307692307,19473.430467133454
Central Africa,2005.3076923076924,19462.804278036612
Central Africa,2005.3461538461538,19446.142887071852
Central Africa,2005.3846153846155,19421.158840526536
Central Africa,2005.423076923077,19386.09455563129
Central Africa,2005.4615384615386,19341.195557849136
Central Africa,2005.5,19290.0
Central Africa,2005.5384615384614,19238.804442150864
Central Africa,2005.576923076923,19193.90544436871
Central Africa,2005.6153846153845,19158.841159473464
Central Africa,2005.6538461538462,19133.857112928144
Central Africa,2005.6923076923076,19117.195721963388
Central Africa,2005.7307692307693,19106.569532866546
Central Africa,2005.7692307692307,19099.984121910667
Central Africa,2005.8076923076924,19095.975235766815
Central Africa,2005.8461538461538,19093.56132399855
Central Africa,2005.8846153846155,19092.117358529464
Central Africa,2005.923076923077,19091.25700330542
Central Africa,2005.9615384615386,19090.74558475585
Central Africa,2006.0,19090.0
Central Africa,2006.0384615384614,19089.757684954347
Central Africa,2006.076923076923,19089.59147392574
Central Africa,2006.1153846153845,19089.311858477926
Central Africa,2006.1538461538462,19088.84256970047
Central Africa,2006.1923076923076,19088.058048375784
Central Africa,2006.2307692307693,19086.75516037903
Central Africa,2006.2692307692307,19084.61490181837
Central Africa,2006.3076923076924,19081.1613903619
Central Africa,2006.3461538461538,19075.746438298353
Central Africa,2006.3846153846155,19067.626623171123
Central Africa,2006.423076923077,19056.23073058017
Central Africa,2006.4615384615386,19041.638556300968
Central Africa,2006.5,19025.0
Central Africa,2006.5384615384614,19008.361443699032
Central Africa,2006.576923076923,18993.76926941983
Central Africa,2006.6153846153845,18982.373376828877
Central Africa,2006.6538461538462,18974.253561701647
Central Africa,2006.6923076923076,18968.8386096381
Central Africa,2006.7307692307693,18965.38509818163
Central Africa,2006.7692307692307,18963.24483962097
Central Africa,2006.8076923076924,18961.941951624216
Central Africa,2006.8461538461538,18961.15743029953
Central Africa,2006.8846153846155,18960.688141522074
Central Africa,2006.923076923077,18960.40852607426
Central Africa,2006.9615384615386,18960.242315045653
Central Africa,2007.0,18960.0
Central Africa,2007.0384615384614,18958.95618134181
Central Africa,2007.076923076923,18958.24019537241
Central Africa,2007.1153846153845,18957.03569805875
Central Africa,2007.1538461538462,18955.014146402027
Central Africa,2007.1923076923076,18951.63466992646
Central Africa,2007.2307692307693,18946.022229325063
Central Africa,2007.2692307692307,18936.802653986837
Central Africa,2007.3076923076924,18921.92598925126
Central Africa,2007.3461538461538,18898.600041900594
Central Africa,2007.3846153846155,18863.62237673715
Central Africa,2007.423076923077,18814.532377883806
Central Africa,2007.4615384615386,18751.673780988793
Central Africa,2007.5,18680.0
Central Africa,2007.5384615384614,18608.326219011207
Central Africa,2007.576923076923,18545.467622116194
Central Africa,2007.6153846153845,18496.37762326285
Central Africa,2007.6538461538462,18461.399958099406
Central Africa,2007.6923076923076,18438.07401074874
Central Africa,2007.7307692307693,18423.197346013163
Central Africa,2007.7692307692307,18413.977770674937
Central Africa,2007.8076923076924,18408.36533007354
Central Africa,2007.8461538461538,18404.985853597973
Central Africa,2007.8846153846155,18402.96430194125
Central Africa,2007.923076923077,18401.75980462759
Central Africa,2007.9615384615386,18401.04381865819
Central Africa,2008.0,18400.0
Central Africa,2008.0384615384614,18399.422171814218
Central Africa,2008.076923076923,18399.0258224383
Central Africa,2008.1153846153845,18398.359047139667
Central Africa,2008.1538461538462,18397.239973901123
Central Africa,2008.1923076923076,18395.36919228072
Central Africa,2008.2307692307693,18392.26230551923
Central Africa,2008.2692307692307,18387.158612028426
Central Africa,2008.3076923076924,18378.923315478376
Central Africa,2008.3461538461538,18366.010737480687
Central Africa,2008.3846153846155,18346.648101408064
Central Africa,2008.423076923077,18319.47328061425
Central Africa,2008.4615384615386,18284.67655733308
Central Africa,2008.5,18245.0
Central Africa,2008.5384615384614,18205.32344266692
Central Africa,2008.576923076923,18170.52671938575
Central Africa,2008.6153846153845,18143.351898591936
Central Africa,2008.6538461538462,18123.989262519313
Central Africa,2008.6923076923076,18111.076684521624
Central Africa,2008.7307692307693,18102.841387971574
Central Africa,2008.7692307692307,18097.73769448077
Central Africa,2008.8076923076924,18094.63080771928
Central Africa,2008.8461538461538,18092.760026098877
Central Africa,2008.8846153846155,18091.640952860333
Central Africa,2008.923076923077,18090.9741775617
Central Africa,2008.9615384615386,18090.577828185782
Central Africa,2009.0,18090.0
Central Africa,2009.0384615384614,18089.049379436292
Central Africa,2009.076923076923,18088.39732078559
Central Africa,2009.1153846153845,18087.300367874934
Central Africa,2009.1538461538462,18085.459311901846
Central Africa,2009.1923076923076,18082.381574397314
Central Africa,2009.2307692307693,18077.270244563897
Central Africa,2009.2692307692307,18068.873845595153
Central Africa,2009.3076923076924,18055.32545449668
Central Africa,2009.3461538461538,18034.082181016613
Central Africa,2009.3846153846155,18002.22752167133
Central Africa,2009.423076923077,17957.520558429896
Central Africa,2009.4615384615386,17900.274336257648
Central Africa,2009.5,17835.0
Central Africa,2009.5384615384614,17769.72566374235
Central Africa,2009.576923076923,17712.479441570104
Central Africa,2009.6153846153845,17667.77247832867
Central Africa,2009.6538461538462,17635.917818983387
Central Africa,2009.6923076923076,17614.67454550332
Central Africa,2009.7307692307693,17601.126154404847
Central Africa,2009.7692307692307,17592.729755436103
Central Africa,2009.8076923076924,17587.618425602686
Central Africa,2009.8461538461538,17584.540688098154
Central Africa,2009.8846153846155,17582.699632125066
Central Africa,2009.923076923077,17581.60267921441
Central Africa,2009.9615384615386,17580.950620563708
Central Africa,2010.0,17580.0
Central Africa,2010.0384615384614,17579.235775625253
Central Africa,2010.076923076923,17578.711571611944
Central Africa,2010.1153846153845,17577.8297075073
Central Africa,2010.1538461538462,17576.349642901485
Central Africa,2010.1923076923076,17573.875383339015
Central Africa,2010.2307692307693,17569.766275041566
Central Africa,2010.2692307692307,17563.01622881179
Central Africa,2010.3076923076924,17552.124384987528
Central Africa,2010.3461538461538,17535.04645924865
Central Africa,2010.3846153846155,17509.437811539698
Central Africa,2010.423076923077,17473.496919522073
Central Africa,2010.4615384615386,17427.475446795364
Central Africa,2010.5,17375.0
Central Africa,2010.5384615384614,17322.524553204636
Central Africa,2010.576923076923,17276.503080477927
Central Africa,2010.6153846153845,17240.562188460302
Central Africa,2010.6538461538462,17214.95354075135
Central Africa,2010.6923076923076,17197.875615012472
Central Africa,2010.7307692307693,17186.98377118821
Central Africa,2010.7692307692307,17180.233724958434
Central Africa,2010.8076923076924,17176.124616660985
Central Africa,2010.8461538461538,17173.650357098515
Central Africa,2010.8846153846155,17172.1702924927
Central Africa,2010.923076923077,17171.288428388056
Central Africa,2010.9615384615386,17170.764224374747
Central Africa,2011.0,17170.0
Central Africa,2011.0384615384614,17168.993460579604
Central Africa,2011.076923076923,17168.303045537683
Central Africa,2011.1153846153845,17167.141565985225
Central Africa,2011.1538461538462,17165.192212601956
Central Africa,2011.1923076923076,17161.933431714802
Central Africa,2011.2307692307693,17156.521435420596
Central Africa,2011.2692307692307,17147.631130630165
Central Africa,2011.3076923076924,17133.285775349428
Central Africa,2011.3461538461538,17110.792897547002
Central Africa,2011.3846153846155,17077.06443471082
Central Africa,2011.423076923077,17029.727650102242
Central Africa,2011.4615384615386,16969.114003096336
Central Africa,2011.5,16900.0
Central Africa,2011.5384615384614,16830.885996903664
Central Africa,2011.576923076923,16770.272349897758
Central Africa,2011.6153846153845,16722.93556528918
Central Africa,2011.6538461538462,16689.207102452998
Central Africa,2011.6923076923076,16666.714224650572
Central Africa,2011.7307692307693,16652.368869369835
Central Africa,2011.7692307692307,16643.478564579404
Central Africa,2011.8076923076924,16638.066568285198
Central Africa,2011.8461538461538,16634.807787398044
Central Africa,2011.8846153846155,16632.858434014775
Central Africa,2011.923076923077,16631.696954462317
Central Africa,2011.9615384615386,16631.0065394204
Central Africa,2012.0,16630.0
Central Africa,2012.0384615384614,16629.739045335453
Central Africa,2012.076923076923,16629.560048843105
Central Africa,2012.1153846153845,16629.25892451469
Central Africa,2012.1538461538462,16628.753536600507
Central Africa,2012.1923076923076,16627.908667481614
Central Africa,2012.2307692307693,16626.505557331267
Central Africa,2012.2692307692307,16624.200663496707
Central Africa,2012.3076923076924,16620.481497312816
Central Africa,2012.3461538461538,16614.65001047515
Central Africa,2012.3846153846155,16605.905594184285
Central Africa,2012.423076923077,16593.63309447095
Central Africa,2012.4615384615386,16577.918445247196
Central Africa,2012.5,16560.0
Central Africa,2012.5384615384614,16542.081554752804
Central Africa,2012.576923076923,16526.36690552905
Central Africa,2012.6153846153845,16514.09440581571
Central Africa,2012.6538461538462,16505.34998952485
Central Africa,2012.6923076923076,16499.518502687184
Central Africa,2012.7307692307693,16495.799336503293
Central Africa,2012.7692307692307,16493.494442668733
Central Africa,2012.8076923076924,16492.091332518386
Central Africa,2012.8461538461538,16491.246463399493
Central Africa,2012.8846153846155,16490.74107548531
Central Africa,2012.923076923077,16490.439951156895
Central Africa,2012.9615384615386,16490.260954664547
Central Africa,2013.0,16490.0
Central Africa,2013.0384615384614,16489.29169448194
Central Africa,2013.076923076923,16488.80584685985
Central Africa,2013.1153846153845,16487.988509397008
Central Africa,2013.1538461538462,16486.616742201375
Central Africa,2013.1923076923076,16484.323526021526
Central Africa,2013.2307692307693,16480.515084184863
Central Africa,2013.2692307692307,16474.258943776782
Central Africa,2013.3076923076924,16464.164064134784
Central Africa,2013.3461538461538,16448.33574271826
Central Africa,2013.3846153846155,16424.600898500208
Central Africa,2013.423076923077,16391.289827849727
Central Africa,2013.4615384615386,16348.63577995668
Central Africa,2013.5,16300.0
Central Africa,2013.5384615384614,16251.364220043319
Central Africa,2013.576923076923,16208.710172150273
Central Africa,2013.6153846153845,16175.399101499792
Central Africa,2013.6538461538462,16151.664257281738
Central Africa,2013.6923076923076,16135.835935865218
Central Africa,2013.7307692307693,16125.741056223218
Central Africa,2013.7692307692307,16119.484915815136
Central Africa,2013.8076923076924,16115.676473978474
Central Africa,2013.8461538461538,16113.383257798625
Central Africa,2013.8846153846155,16112.01149060299
